Identifiant;Active (0/1);Nom;Catégorie parente;Catégorie racine (0/1);Description;Balise de titre;Méta mots-clés;Méta description;URL simplifiée;URL de l'image;ID ou nom de la boutique
3;1;Toutes nos collections;;0;;;;;collections;;1
11;1;Charme;3;0;<p>Dans un parfum intemporel, nos <strong>bougies et senteurs</strong> apposent la signature d’un charme classique. De la quintessence de parfums millénaires aux effluves du boudoir de Marie-Antoinette, nos <strong>bougies parfumées et diffuseurs d’ambiance</strong> dévoilent, dans une palette en demi-teinte, une pointe de féminité… Comme une fleur nouée, brodée à notre passé…</p>;Charme, bougies et parfums d’ambiance;Charme, bougies et parfums d’ambiance;Un parfum chargé d’Histoire, une collection de Charme. Découvrez notre sélection de bougies parfumées et parfums d’ambiance classiques sur bougies-la-francaise.com.;charme;;1
12;1;Quintessence;11;0;<p>Une collection aux senteurs intemporelles… Nos <strong>bougies parfumées et parfums d’’ambiance</strong> vous offrent toute la quintessence olfactive d’une fragrance ayant traversé les siècles. Aux valeurs symboliques, nos <strong>parfums d’intérieurs</strong> jalonnent l’Histoire et vous accompagnent encore aujourd’hui.</p>;Quintessence, bougies, parfums d’ambiance;Quintessence, bougies, parfums d’ambiance;Découvrez toute la Quintessence de nos parfums d’ambiance : bougies parfumées et parfums d’intérieurs haut de gamme, par Bougies la Française.;quintessence;;1
13;1;Boudoir;11;0;<p>Nostalgie des charmes d’antan… Sortis de leur écrin, les <strong>bougies et bouquets parfumés</strong> de notre collection Boudoir révèlent les <strong>senteurs précieuses</strong> d’une ambiance hors du temps. Mémoire d’un cabinet aux senteurs de Cologne, d’une alcôve velours à la poudre de riz, d’une aïeule coquette que l’on appelait rose.</p>;Boudoir, bougies et parfums d’ambiance;Boudoir, bougies et parfums d’ambiance;Parfums d’ambiance précieux et féminins. Découvrez toute la gamme Boudoir : coffrets cadeaux, bougies parfumées et parfums d’intérieurs, par Bougies la Française.;boudoir;;1
14;1;Elégance;3;0;<p><strong>Raffinement et élégance... </strong> Inspirées de l’architecture sublimée des beaux quartiers, soulignées par la force d’un voyage olfactif à travers les sens, une pointe de dandysme… Nos <strong>bougies parfumées</strong> se dévoilent, plus luxueuses que jamais.</p>;Elégance, bougies parfumées de luxe;Elégance, bougies parfumées de luxe;Des bougies de luxe, une évasion olfactive… Bougies la Française vous propose de découvrir une collection de bougies parfumées design, empreintes d’élégance.;elegance;;1
15;1;Lounge spirit;14;0;<p>Entre matières nobles et rêves d’évasions, les notes olfactives de nos <strong>bougies parfumées de luxe</strong> jouent leurs accords majeurs. <strong>Café-rhum-épice</strong>. Le confort cosy d’un piano-bar, mélange de raffinement et de sophistication, un soupçon masculin… Lounge par essence.</p>;Lounge spirit, bougies parfumées design;Lounge spirit, bougies parfumées design;Matières nobles, essences rares, rêves d’évasion… Découvrez notre collection de bougies parfumées de luxe Lounge spirit, par Bougies la Française.;lounge-spirit;;1
16;1;Slow time;14;0;<p>Bienvenue dans un <strong>univers féminin, délicat et ressourçant</strong>. Juste le temps d’un rituel de bien-être, les binotes s’accordent en alliances transparentes, aériennes, florales ou toniques… Dans une ambiance empreinte de plénitude et de sérénité, l’eau inspire et habille nos plus belles <strong>bougies</strong>.</p>;Slow time, bougies parfumées design;Slow time, bougies parfumées design;Des bougies au parfum féminin, délicat et ressourçant… Découvrez notre collection Slow time : bougies parfumées design haut de gamme, par Bougies la Française. ;slow-time;;1
17;1;Authentique;3;0;<p>Le <strong>style « retro-vintage »</strong> cher à Bougies la Française joue avec la patine du temps. Colle des écoliers, cire des antiquaires, ou petites madeleines… Les parfums d’antan recréent ces instants d’exception. Nos <strong>bougies parfumées</strong> portent en elles cet indéfinissable supplément d’âme ! Un passé réinventé, une tradition sublimée…</p>;Authentique, bougies parfumées d’antan;Authentique, bougies parfumées d’antan;Découvrez nos senteurs les plus originales. De la colle des écoliers aux petites madeleines, Bougies la Française vous propose des bougies parfumées résolument rétro.;authentique;;1
18;1;Comptoir des ciriers;17;0;<p>Allumez la petite flamme du souvenir : un concentré de rires de lavandières, de cris d’écoliers et d’histoires d’objets rares dans la remise d’un artisan… En s’inspirant des senteurs authentiques d’antan, nos <strong>bougies parfumées vintage</strong> dévoilent les trésors d’un passé oublié.</p>;Comptoir des ciriers, bougies parfumées rétro;Comptoir des ciriers, bougies parfumées rétro;Découvrez toute notre gamme de bougies Comptoir des ciriers. En s’inspirant des senteurs d’antan, nos bougies parfumées dévoilent les trésors d’un passé oublié…;comptoir-des-ciriers;;1
19;1;Confiserie générale;17;0;<p>Souvenirs du chocolat d’antan pour les jeudis d’hiver, des biscuits dorés pour les sorties au parc, des sucres d’orge et caramels fondants les jours de fête foraine. A travers leur parfum d’addiction, nos <strong>bougies parfumées</strong> vous plongent dans les délices d’une gourmandise tellement régressive…</p>;Confiserie générale, bougies parfumées gourmandes;Confiserie générale, bougies parfumées gourmandes;Des senteurs régressives emplies de gourmandise. Signées Bougies la Française, nos bougies parfumées aux saveurs d’antan vous font retomber en enfance.;confiserie-generale;;1
20;1;Naturel;3;0;<p>La simplicité du nom fait la force de l’idée. Nos <strong>bougies naturelles et parfums d’ambiance</strong> sont élaborées avec des matières premières d’origine végétale.… En respectant son environnement proche comme celui de la planète, on prend soin de l’autre, de soi, naturellement.</p>;Nature, parfums d’ambiance écologiques;Nature, parfums d’ambiance écologiques;Découvrez une collection de parfums d’ambiance placée sous le signe de la Nature : bougies naturelles, bouquets parfumés et sprays d’intérieur, Bougies la Française.;naturel;;1
21;1;La nature;20;0;<p>« <strong>La Nature</strong> » un baptême de collection qui a toute la force de la simplicité… Des <strong>parfums naturels</strong> en provenance directe de Grasse, des mèches de bougies 100% coton, des emballages en papier recyclé et une fabrication française pour une empreinte écologique minorée… <strong>Un retour au bien-être, à l’essentiel</strong>.</p>;La nature, parfums d’ambiance écologiques;La nature, parfums d’ambiance écologiques;Bougies la Française vous propose une collection de parfums d’ambiance écologiques inspirés de la Nature : bougies naturelles, bouquets parfumés et sprays d’intérieur.;la-nature;;1
22;1;Tendance;3;0;<p>La silhouette d’une jolie parisienne se dessine… A la pointe de la mode, notre collection de <strong>bougies Rendez-vous à Paris</strong> s’habille de noir et blanc pour un look so chic ! D’une humeur fraîche, pétillante, un tantinet taquine, suivez nos petites égéries pour une balade olfactive dans tout Paris !</p>;Tendances, bougies parfumées glamour;Tendances, bougies parfumées glamour;Découvrez notre collection de bougies parfumée ultra tendance : Paris Mode, un design unique, des senteurs originales, un univers féminin… par Bougies la Française. ;tendance;;1
